1-Mar,0, , ,0,0,0
2-Mar,0,0,0,0,0,0
3-Mar,0,0,0,0,0,0
4-Mar,0,0,0,0,0,0
5-Mar,0,0,0,0,0,0
6-Mar,0,0,0,0,0,0
7-Mar,1,0,0,0,0,0
8-Mar,0,0,0,0,0,0
9-Mar,1,2,0,0,0,0
10-Mar,4,0,0,1,0,0
11-Mar,2,0,0,4,0,0
12-Mar,6,0,0,6,0,0
13-Mar,13,16,0,7,0,0
14-Mar,8,5,0,9,0,0
15-Mar,12,8,0,9,0,0
16-Mar,5,13,0,9,1,1
17-Mar,8,4,0,8,1,2
18-Mar,17,15,0,10,0,2
19-Mar,13,9,0,15,0,2
20-Mar,15,11,0,18,1,3
21-Mar,10,0,1,16,1,4
22-Mar,6,16,0,16,1,5
23-Mar,13,19,0,20,1,6
24-Mar,18,8,2,25,3,9
25-Mar,13,10,0,27,3,10
26-Mar,34,20,0,32,1,10
27-Mar,31,24,3,37,2,11
28-Mar,26,21,1,37,3,12
29-Mar,33,27,1,43,1,12
30-Mar,37,33,0,45,0,11
31-Mar,39,45,2,49,0,12
1-Apr,29,56,2,47,1,13
2-Apr,47,29,0,56,0,12
3-Apr,21,32,1,58,2,13
4-Apr,25,38,1,57,0,12
5-Apr,9,18,0,53,0,11
6-Apr,37,23,0,48,1,13
7-Apr,39,23,0,45,1,13
8-Apr,23,32,0,47,1,14
9-Apr,17,31,1,42,1,14
10-Apr,18,20,0,43,1,14
11-Apr,37,20,1,38,0,14
12-Apr,22,16,1,35,1,15
13-Apr,26,41,0,30,0,15
14-Apr,25,25,0,32,0,14
15-Apr,15,16,0,32,0,13
16-Apr,9,19,0,31,2,15
17-Apr,4,15,0,28,0,15
18-Apr,5,6,0,28,0,14
19-Apr,0,1,0,24,0,14
20-Apr,11,6,0,23,1,15
21-Apr,6,13,0,23,0,15
22-Apr,7,5,1,23,0,14
23-Apr,13,7,1,21,0,13
24-Apr,2,12,0,23,0,10
25-Apr,9,3,0,22,0,10
26-Apr,4,2,1,18,1,11
27-Apr,16,11,0,22,0,8
28-Apr,5,16,0,25,0,7
29-Apr,9,4,0,24,0,7
30-Apr,7,6,0,22,0,6
1-May,7,8,0,21,0,6
2-May,3,7,0,20,0,6
3-May,2,4,0,21,0,6
4-May,4,6,0,20,0,6
5-May,5,4,1,23,0,6
6-May,6,4,0,22,0,5
7-May,2,3,0,21,0,5
8-May,3,3,0,17,0,5
9-May,8,3,1,17,0,5
10-May,1,4,0,18,0,4
11-May,0,3,0,18,0,4
12-May,3,4,1,16,0,4
13-May,2,0,1,10,0,4
14-May,3,3,0,9,0,3
15-May,2,4,0,9,0,3
16-May,4,4,0,8,0,3
17-May,0,0,0,7,0,3
18-May,1,1,0,6,0,4
19-May,5,5,0,6,0,4
20-May,3,0,0,6,0,4
21-May,8,7,0,6,0,4
22-May,1,1,0,6,0,4
